# The average magnetic field strength produced by the spacecraft at the
# location of the outboard magnetometer of the dual magnetometers system 
# on V1 and V2 is about 0.1 - 0.2 nT, comparable to the most probable magnetic 
# field strength in the inner heliosheath and significantly larger than the most 
# probable magnetic field strength in the distant supersonic solar wind. 
# The spacecraft magnetic field is a complex, time-dependent signal that must
# be removed from the measured magnetic field signal in order to derive the 
# ambient magnetic fields of the solar wind and heliosheath. Corrections must 
# also be made for spurious magnetic signals and noise associated with the 
# telemetry system, ground tracking systems, and other factors. Extracting the 
# signal describing the solar wind and heliosheath from the many sources of 
# uncertainty is a complex and partly subjective process that requires 
# understanding of the instrument and judgment based on experience in dealing 
# with the ever-changing extraneous signals.  For the V2 MAG data the 1-sigma 
# uncertainty in the 48 sec averages for each of the components of the magnetic 
# field  BR, BT, and BN is typically +/- 0.03 nT; the uncertainty in magnitude f1 is 
# typically +/- 0.04 nT. F1, BR, BT, and BN can differ from one another and they 
# may vary with time, but there is no practical way to determine these uncertainties 
# more precisely at present.
#
# References 
#
# Daniel B. Berdichevsky, Voyager Mission, Detailed processing of weak magnetic 
# fields; I - Constraints to the uncertainties of the calibrated magnetic field signal 
# in the Voyager missions , 2009; 
# http://vgrmag.gsfc.nasa.gov/Berdichevsky-VOY_sensor_opu090518.pdf
#
# Behannon, K.W., M.H. Acuña, L.F. Burlaga, R.P. Lepping, N.F. Ness, and 
# F.M. Neubauer, Magnetic-Field Experiment for Voyager-1 and Voyager-2, 
# Space Science Reviews, 21 (3), 235-257, 1977. 
#
# Burlaga, L.F., Merged interaction regions and large-scale magnetic field 
# fluctuations during 1991 - Voyager-2 observations, J. Geophys. Res., 99 (A10), 
# 19341-19350, 1994. 
#
# Burlaga, L.F., N.F. Ness, Y.-M. Wang, and N.R. Sheeley Jr., Heliospheric magnetic 
# field strength and polarity from 1 to 81 AU during the ascending phase of solar 
# cycle 23, J. Geophys. Res., 107 (A11), 1410, 2002. 
#
# Ness, N., K.W. Behannon, R. Lepping, and K.H. Schatten, J. Geophys. Res., , 
# 76, 3564, 1971.
#
# SC	year	DOY	F1	BR	BT	BN	dF1	dBR	dBT	dBN
2	2007	245.0275	0.07	0	-0.06	-0.03	0.04	0.03	0.03	0.03
2	2007	245.028	0.07	0.01	-0.07	-0.02	0.04	0.03	0.03	0.03
2	2007	245.0286	0.07	0	-0.07	-0.01	0.04	0.03	0.03	0.03
2	2007	245.0292	0.06	-0.01	-0.05	-0.01	0.04	0.03	0.03	0.03
2	2007	245.0297	0.06	0	-0.06	-0.01	0.04	0.03	0.03	0.03
2	2007	245.0303	0.05	0	-0.05	0	0.04	0.03	0.03	0.03
2	2007	245.0308	0.07	0	-0.07	0	0.04	0.03	0.03	0.03
2	2007	245.0314	0.06	0.01	-0.06	-0.01	0.04	0.03	0.03	0.03
2	2007	245.0319	0.06	0.01	-0.06	0	0.04	0.03	0.03	0.03
2	2007	245.0325	0.06	0	-0.06	-0.02	0.04	0.03	0.03	0.03
2	2007	245.0331	0.07	0	-0.07	-0.02	0.04	0.03	0.03	0.03
2	2007	245.0336	0.07	0.01	-0.07	-0.01	0.04	0.03	0.03	0.03
2	2007	245.0341	0.07	0.01	-0.06	-0.02	0.04	0.03	0.03	0.03
2	2007	245.0347	0.07	0.01	-0.06	-0.03	0.04	0.03	0.03	0.03
2	2007	245.0353	0.07	0.01	-0.06	-0.04	0.04	0.03	0.03	0.03
2	2007	245.0358	0.06	0	-0.05	-0.03	0.04	0.03	0.03	0.03
2	2007	245.0364	0.06	0	-0.05	-0.03	0.04	0.03	0.03	0.03
2	2007	245.0369	0.06	0	-0.05	-0.02	0.04	0.03	0.03	0.03
2	2007	245.0375	0.06	0	-0.05	-0.03	0.04	0.03	0.03	0.03
2	2007	245.038	0.06	0	-0.04	-0.03	0.04	0.03	0.03	0.03
2	2007	245.0386	0.05	-0.01	-0.03	-0.03	0.04	0.03	0.03	0.03
2	2007	245.0392	0.03	-0.01	-0.02	-0.02	0.04	0.03	0.03	0.03
2	2007	245.0397	0.04	0	-0.03	-0.02	0.04	0.03	0.03	0.03
2	2007	245.0403	0.04	0	-0.03	-0.01	0.04	0.03	0.03	0.03
2	2007	245.0408	0.04	0	-0.04	-0.02	0.04	0.03	0.03	0.03
